DateTime,high,low,open,close,volumeto,ETH,SP500,Russell_2000,Crude_oil,Gold,Silver,EUR/USD,Treasury Yield 10 Years,USD/JPY,wiki_Bitcoin,wiki_Cryptocurrency,wiki_Coinbase
2016-06-13,718.24,652.78,666.55,700.07,149442548.73,17.56,2079.06005859375,1150.699951171875,48.880001068115234,1284.4000244140625,17.42799949645996,1.1239995956420898,1.6160000562667847,106.50399780273438,6523,992,222
2016-06-14,702.52,654.69,700.07,685.14,92458349.24,18.84,2075.320068359375,1147.8199462890625,48.4900016784668,1285.5999755859375,17.40999984741211,1.1291015148162842,1.6109999418258667,106.22599792480469,5839,997,189
2016-06-15,695.07,670.45,685.14,690.77,53863568.9,18.42,2071.5,1149.300048828125,48.0099983215332,1285.800048828125,17.48900032043457,1.1213024854660034,1.5959999561309814,106.08699798583984,5455,1245,206
2016-06-16,769.73,687.43,690.77,761.21,169704647.02,20.61,2077.989990234375,1148.18994140625,46.209999084472656,1296.0999755859375,17.5939998626709,1.1262656450271606,1.5640000104904175,105.8499984741211,5441,925,250
2016-06-17,771.89,704.21,761.21,743.9,160302360.32,15.49,2071.219970703125,1144.699951171875,47.97999954223633,1292.5,17.399999618530273,1.1252011060714722,1.6180000305175781,104.74299621582031,5347,943,190
2016-06-20,764.6,717.41,761.04,733.97,83637617.46,11.73,2083.25,1157.699951171875,49.369998931884766,1290.0,17.503000259399414,1.13490629196167,1.6699999570846558,104.64800262451172,6360,1026,206
2016-06-21,732.23,626.05,733.97,667.38,166828425.88,12.71,2088.89990234375,1153.8699951171875,48.849998474121094,1270.5,17.31100082397461,1.1322976350784302,1.6970000267028809,103.8239974975586,6803,1017,206
2016-06-22,677.8,586.6,667.38,590.56,129550795.89,13.21,2085.449951171875,1148.969970703125,49.130001068115234,1268.0,17.30500030517578,1.1250618696212769,1.684999942779541,104.66999816894531,5454,999,196
2016-06-23,629.55,539.28,590.56,620.84,154289129.68,13.58,2113.320068359375,1172.219970703125,50.11000061035156,1261.199951171875,17.347999572753906,1.1328235864639282,1.7389999628067017,104.6500015258789,5603,1086,167
2016-06-24,687.39,616.41,620.84,656.89,128990817.06,14.16,2037.4100341796875,1127.5400390625,47.63999938964844,1320.0,17.78499984741211,1.1324002742767334,1.5789999961853027,104.89600372314453,13085,1082,166
2016-06-27,650.34,615.22,625.41,644.66,63747137.15,13.83,2000.5400390625,1089.6500244140625,46.33000183105469,1322.5,17.739999771118164,1.103594422340393,1.4600000381469727,102.12699890136719,7125,964,164
